"cv_0","pa","lon","lat","wc2.1_10m_bio_14","wc2.1_10m_bio_15","wc2.1_10m_bio_18","wc2.1_10m_bio_19","wc2.1_10m_bio_2","wc2.1_10m_bio_4","wc2.1_10m_bio_5"
2,1,-37.722778,-12.131944,69,49.9434928894043,294,561,7.89718246459961,140.399185180664,30.4253520965576
3,1,-38.041667,-12.263056,75,47.0209197998047,294,420,7.67839574813843,140.841995239258,29.8332500457764
1,1,-39.016667,-14.416667,121,18.4428386688232,507,546,6.16425895690918,132.181594848633,28.7308330535889
1,1,-39.1492004394531,-13.7321996688843,132,17.5225868225098,552,582,5.85259246826172,128.018356323242,29.0538883209229
3,1,-39.25,-14.3166667,106,17.5812187194824,453,486,6.14039611816406,134.043060302734,28.4540004730225
3,1,-39.2844009399414,-14.5930995941162,98,18.7093467712402,455,433,6.45170831680298,135.480682373047,28.8649997711182
3,1,-39.266389,-13.953611,132,14.1104803085327,508,556,5.87799978256226,133.595993041992,27.7049999237061
1,1,-39.090278,-13.328889,108,26.3667736053467,423,586,6.05814599990845,130.330856323242,28.648250579834
3,1,-39.204167,-13.714167,128,14.1096324920654,502,533,5.88018751144409,132.678909301758,27.8605003356934
1,1,-38.9967002868652,-14.2775001525879,138,20.9203395843506,547,626,6.11839056015015,131.431655883789,29.3620681762695
2,1,-39.155556,-13.874167,141,16.1433982849121,584,614,5.9093279838562,129.437652587891,29.0880641937256
2,1,-39,-14,144,19.7013816833496,573,643,5.88768911361694,128.652297973633,29.3068180084229
1,1,-39.711111,-14.167222,72,22.4304847717285,353,257,6.90212488174438,147.387512207031,28.5480003356934
2,1,-39.266944,-14.47,97,18.9582805633545,447,443,6.26610422134399,134.684265136719,28.5727500915527
2,1,-39.6,-13.8,109,10.6178245544434,412,418,6.29214572906494,141.963150024414,27.6650009155273
3,1,-39.528611,-15.158056,59,23.4297103881836,344,230,7.84131240844727,152.456237792969,29.2959995269775
1,1,-37.966667,-12.166667,75,48.928897857666,304,446,7.47646188735962,137.030212402344,29.8533840179443
2,1,-40.215556,-12.915278,14,59.9352569580078,256,65,8.7368335723877,148.888107299805,28.3287506103516
1,0,-39.25,-15.5833333333333,93,17.6456146240234,360,341,7.5683126449585,157.485000610352,29.5524997711182
3,0,-40.5833333333333,-12.5833333333333,17,52.6365623474121,262,85,10.197437286377,152.316970825195,29.4397506713867
2,0,-40.0833333333333,-11.9166666666667,20,39.4368476867676,239,131,9.73702049255371,166.373672485352,30.1662502288818
1,0,-39.9166666666667,-14.0833333333333,67,23.0542545318604,340,249,6.77529191970825,148.789459228516,28.0382499694824
3,0,-38.9166666666667,-11.5833333333333,31,29.0946140289307,207,154,9.54952049255371,162.191818237305,30.5332508087158
1,0,-40.0833333333333,-15.25,29,43.5672569274902,263,130,8.84591674804688,165.555709838867,29.4060001373291
3,0,-39.75,-13.4166666666667,73,14.1420574188232,327,306,7.1609582901001,150.569488525391,25.8762493133545
2,0,-39.0833333333333,-12.4166666666667,48,24.8839569091797,209,239,8.4622917175293,158.421173095703,30.2029991149902
2,0,-38.9166666666667,-11.9166666666667,41,25.2819690704346,247,200,8.94177055358887,162.96223449707,30.3050003051758
2,0,-38.75,-12.4166666666667,63,35.4199905395508,255,353,8.52714538574219,149.974639892578,30.085750579834
1,0,-40.5833333333333,-15.25,23,54.1262397766113,269,97,9.71081256866455,168.355438232422,29.2372493743896
2,0,-40.25,-13.75,23,49.5968627929688,235,100,7.70879173278809,151.562225341797,26.7210006713867
3,0,-41.0833333333333,-13.0833333333333,12,65.2575149536133,301,61,11.4662714004517,132.648574829102,30.3147506713867
1,0,-40.9166666666667,-12.5833333333333,17,54.7876129150391,266,82,11.095853805542,144.4755859375,28.9192504882812
3,0,-39.5833333333333,-16.0833333333333,49,27.6736373901367,272,218,8.38297843933105,161.959075927734,29.611499786377
3,0,-38.9166666666667,-12.9166666666667,72,40.5130844116211,258,532,6.62299633026123,133.206604003906,29.3273658752441
1,0,-40.4166666666667,-13.5833333333333,18,55.7927894592285,242,79,8.32187461853027,150.924407958984,25.9654998779297
2,0,-40.4166666666667,-13.4166666666667,23,49.3833198547363,257,100,8.21347904205322,151.107543945312,25.0995006561279
3,0,-40.0833333333333,-13.25,29,39.2815856933594,256,130,8.26264572143555,155.910751342773,26.6604995727539
1,0,-39.9166666666667,-14.75,43,36.6803092956543,318,172,7.91837453842163,153.74006652832,28.2714996337891
2,0,-39.5833333333333,-13.5833333333333,99,11.6290988922119,398,397,6.36287498474121,143.663711547852,27.4360008239746
3,0,-40.9166666666667,-13.25,13,65.14453125,274,54,10.7720413208008,134.651016235352,28.8610000610352
2,0,-39.9166666666667,-12.75,12,58.3474578857422,214,54,8.3057918548584,150.713043212891,28.9702491760254
1,0,-39.4166666666667,-15.75,71,22.4984855651855,286,275,7.90747928619385,160.305099487305,29.3689994812012
2,0,-40.5833333333333,-13.9166666666667,6,83.2109680175781,212,23,9.18616676330566,144.56755065918,29.7612495422363
3,0,-40.4166666666667,-12.0833333333333,26,37.4081268310547,298,165,9.86570835113525,164.113311767578,29.7434997558594
3,0,-39.5833333333333,-12.4166666666667,27,28.6803455352783,193,136,8.37295818328857,161.812881469727,29.6847496032715
2,0,-40.25,-14.5833333333333,26,49.8959007263184,227,103,8.53866672515869,160.126342773438,25.4522495269775
1,0,-37.9166666666667,-11.4166666666667,41,45.6226768493652,207,337,9.44968700408936,159.795166015625,31.1704998016357
1,0,-38.75,-12.5833333333333,74,42.0343856811523,265,425,7.83973217010498,140.528015136719,30.1021099090576
